title,condition,price,sold_date,num_bids,buy_it_now,best_offer
NEW OAKLEY SI M FRAME Z87 PHOTOCHROMIC BLACK MULTI LENS KIT SUNGLASSES 150 MM,New (Other),$255.00,"Sold  Dec 1, 2023Sold Item",,Yes,No
Oakley David Duvall Signature Series Pro M Frame Black Chrome Vntage Sun Glasses,Pre-Owned,$187.50,"Sold  Dec 1, 2023Sold Item",34 bids,No,No
WL Yellow Replacement Lenses and Black Rubber Kit Set 4 Oakley M Frame Sweep,Brand New,$21.99,"Sold  Dec 1, 2023Sold Item",,Yes,No
"Oakley Pro M Frame Sunglasses Black Frames with 4 Lenses, and Hard Case",Pre-Owned,$128.00,"Sold  Dec 1, 2023Sold Item",3 bids,No,No
Oakley Sunglasses M2 Frame OO9212 0139 Polished Black Black Iridium NIB 01 39,Brand New,$94.99,"Sold  Dec 1, 2023Sold Item",,Yes,No
Oakley Standard Issue Ballistic APEL M 2.0 Black Sunglasses Frame/Nose Clip Only,Pre-Owned,$59.95,"Sold  Dec 1, 2023Sold Item",,Yes,No
Shop on eBay,Brand New,$20.00,,,Yes,No
Oakley SI Ballistic M Frame 2.0 (OO9213) - FRAME ONLY (No Lenses) BNIB Authentic,Brand New,$53.19,"Sold  Dec 1, 2023Sold Item",,Yes,No
New OAKLEY BALLISTIC M-FRAME Safety glasses 11-161 Black w/Clear ANSI Z87.1 Lens,Brand New,$149.99,"Sold  Dec 1, 2023Sold Item",,Yes,No
Oakley M Frame FMJ Red Black Iridium Heater+Hard Case 09-141 NEW,New (Other),$375.00,"Sold  Dec 1, 2023Sold Item",,Yes,No
Oakley Pro M Frame Earsocks Ear Pad  Kit Nosepiece Black Sunglasses Rubbers New,Brand New,$23.99,"Sold  Nov 30, 2023Sold Item",,Yes,No
Oakley M Frame G30 Iridium Vented Heater Lens - MINT,Pre-Owned,$119.99,"Sold  Nov 30, 2023Sold Item",,No,Yes
New In Box OAKLEY MFRAME/PRO M FRAME STRIKE CLEAR REPLACEMENT LENS NOT M2,Brand New,$22.50,"Sold  Nov 30, 2023Sold Item",,Yes,No
OAKLEY M2 Frame® XL Replacement Lens Fire Iridium Polarized Lenses 101-649-012,Pre-Owned,$55.00,"Sold  Nov 30, 2023Sold Item",,Yes,No
Oakley M Frame Sport Sunglasses Red Frame Men’s Clear Lenses,Pre-Owned,$71.00,"Sold  Nov 30, 2023Sold Item",13 bids,No,No
Oakley M2 Frame Sunglasses OO9212-04 Silver/Fire Iridium Lens Oakley Sunglasses,Brand New,$99.99,"Sold  Nov 30, 2023Sold Item",,Yes,No
Yellow Oakley M Frame Sunglasses Preowned,Pre-Owned,$40.00,"Sold  Nov 30, 2023Sold Item",,Yes,No
Vintage Oakley M Frame? Gen 2 Yellow Sunglasses Sweep Nice Preowned Used,Pre-Owned,$89.99,"Sold  Nov 30, 2023Sold Item",,Yes,No
Oakley Standard issue SI Ballistic M Frame Z87 Black Sunglasses + Lens And Case,Pre-Owned,$70.00,"Sold  Nov 30, 2023Sold Item",,Yes,No
